transaction_id,timestamp,sender_account,receiver_account,amount,transaction_type,merchant_category,location,device_used,is_fraud,time_since_last_transaction,spending_deviation_score,velocity_score,geo_anomaly_score,payment_channel,ip_address,device_hash,amount_ARS
T3459506,2023-02-28T08:06:54.427724,ACC554508,ACC574357,32.01,transfer,restaurant,Singapore,mobile,False,,0.56,4,0.05,ACH,88.131.68.31,D1349142,46486.5225
T2849677,2023-11-18T19:40:12.852393,ACC737342,ACC712779,472.56,withdrawal,other,Sydney,mobile,True,7560.412640103334,-1.17,7,0.9,UPI,88.181.192.23,D3670258,686275.26
T2726558,2023-05-30T05:05:49.598497,ACC560771,ACC746139,53.1,payment,entertainment,Dubai,mobile,True,40.27229129055555,1.27,13,0.07,UPI,121.205.4.49,D3129405,77114.475
T2056577,2023-07-24T12:55:51.526413,ACC948454,ACC557580,7.83,payment,grocery,Berlin,atm,True,988.1113852677778,-1.0,15,0.48,ACH,40.155.171.122,D2016895,11371.1175
T3997918,2023-06-24T09:23:49.463914,ACC669548,ACC676025,8.61,transfer,travel,Singapore,mobile,True,2732.008622106389,-0.53,7,0.72,wire_transfer,59.175.3.249,D7127661,12503.8725
T3478176,2023-08-27T18:56:40.722860,ACC540759,ACC496184,60.6,withdrawal,online,New York,web,False,-2071.3936972438887,0.95,5,0.52,card,249.0.142.49,D9414909,88006.35
T3601651,2023-05-01T06:39:16.283574,ACC529833,ACC337146,977.11,deposit,online,Tokyo,atm,True,41.41198444833333,-0.42,3,0.21,ACH,94.86.49.234,D9201430,1419007.9975
T4362111,2023-01-10T23:45:18.097908,ACC254910,ACC385047,592.66,withdrawal,utilities,Sydney,mobile,False,-4872.978829132499,0.39,8,0.62,wire_transfer,166.121.237.196,D7572111,860690.485
T4447581,2023-03-19T07:21:05.823607,ACC738408,ACC160428,873.75,deposit,grocery,Berlin,mobile,False,-5553.141535386944,0.8,9,0.17,card,212.98.116.72,D5868488,1268903.4375
T2622680,2023-07-10T03:33:00.475786,ACC740270,ACC290372,1669.19,deposit,online,Toronto,atm,False,569.3564515225,-0.79,15,0.57,UPI,141.177.47.17,D5980203,2424081.1775
T4802822,2023-03-25T03:01:22.584415,ACC258859,ACC942846,3.44,transfer,travel,Sydney,pos,True,-3210.0772592819444,-0.27,19,0.37,card,218.36.155.238,D9934462,4995.74
T2912580,2023-04-24T00:14:21.864440,ACC598645,ACC891179,2027.04,deposit,retail,Tokyo,atm,False,-2264.2792907725,0.3,2,0.86,card,233.123.202.167,D4839337,2943768.84
T1142918,2023-06-17T14:08:16.528837,ACC958310,ACC252828,524.37,withdrawal,grocery,Dubai,mobile,False,1564.448259609722,-0.87,8,0.18,wire_transfer,86.43.252.209,D3765387,761516.3325
T3102388,2023-05-26T08:01:54.957146,ACC291072,ACC965775,700.66,deposit,retail,Tokyo,pos,False,-3107.978800876389,0.05,4,0.08,UPI,50.129.17.105,D3945416,1017533.485
T2727524,2023-11-25T04:05:56.436769,ACC301658,ACC555478,467.66,deposit,grocery,Tokyo,pos,True,5592.620170613611,-0.0,17,0.91,ACH,202.204.49.83,D4051161,679159.235
T361682,2023-11-20T19:46:07.858983,ACC457866,ACC669324,308.19,withdrawal,travel,Toronto,pos,False,,-0.66,3,0.04,wire_transfer,111.127.210.80,D6231825,447568.9275
T4522137,2023-10-27T19:21:09.320236,ACC728240,ACC832756,1479.64,deposit,grocery,Dubai,web,True,2370.187815262222,0.82,8,0.07,card,23.2.228.142,D3868262,2148807.19
T3356959,2023-07-12T19:42:18.184162,ACC818834,ACC844356,260.33,withdrawal,utilities,Toronto,mobile,True,-3766.302336370555,-2.15,9,0.22,ACH,242.75.205.76,D3015222,378064.2425
T4595494,2023-05-13T00:54:51.619617,ACC718811,ACC708155,583.66,deposit,utilities,Berlin,pos,True,870.0459628875,-0.05,19,0.72,UPI,7.38.169.34,D9581645,847620.235
T1833453,2023-06-13T01:07:50.507507,ACC862169,ACC614851,1626.26,deposit,utilities,Singapore,web,True,-2411.7594668069446,-0.93,5,0.94,UPI,47.136.205.45,D5238961,2361736.085
T3075409,2023-01-21T00:45:37.796966,ACC937974,ACC168226,25.33,transfer,other,Tokyo,atm,False,-7289.602939480833,0.66,9,0.3,card,2.69.191.162,D5255121,36785.4925
T189611,2023-01-11T22:55:16.681459,ACC930230,ACC267991,53.65,transfer,travel,New York,mobile,False,,1.38,12,0.82,ACH,140.82.14.10,D6451169,77913.2125
T1344277,2023-10-15T12:01:05.541610,ACC293124,ACC681591,3.52,payment,grocery,Toronto,mobile,True,-473.3036029988889,-1.5,17,0.75,wire_transfer,175.96.60.87,D1534719,5111.92
T1062728,2023-10-09T12:35:42.587292,ACC823610,ACC677842,1021.75,deposit,other,London,mobile,True,3881.107366835278,0.26,4,0.52,card,181.227.16.36,D4729024,1483836.4375
T229072,2023-10-27T07:44:56.805680,ACC614719,ACC942521,45.39,transfer,other,Singapore,pos,False,,0.0,8,0.31,wire_transfer,42.130.54.44,D6971113,65917.6275
T2801479,2023-06-20T13:41:12.740273,ACC602058,ACC947650,66.62,payment,utilities,Tokyo,atm,False,-3039.2325495797218,-1.09,15,0.55,ACH,239.212.196.15,D9646681,96748.895
T4740010,2023-04-30T11:19:44.745668,ACC945526,ACC191484,626.43,withdrawal,entertainment,Tokyo,web,True,-3867.544670484445,-0.03,13,0.85,UPI,231.42.120.103,D5867729,909732.9674999999
T4618970,2023-06-11T11:27:13.964833,ACC851204,ACC423919,173.38,payment,grocery,Berlin,pos,True,-2789.293603744722,0.07,15,0.59,wire_transfer,244.229.4.189,D2570521,251791.10499999998
T3932004,2023-07-03T06:18:25.644663,ACC114910,ACC350956,560.18,withdrawal,retail,Sydney,pos,True,342.9942096952778,0.22,3,0.7,card,119.47.24.246,D7019833,813521.4049999999
T4309675,2023-06-28T22:46:09.207323,ACC299247,ACC425087,410.47,withdrawal,travel,Singapore,mobile,False,-2540.052053173611,0.54,20,0.71,UPI,135.177.192.234,D6541030,596105.0575
T3307956,2023-10-04T15:52:47.838187,ACC446637,ACC285158,6.33,transfer,retail,Dubai,pos,True,5033.304271795833,1.68,20,0.3,card,37.191.157.216,D2328884,9192.7425
T4181469,2023-07-19T23:13:05.141392,ACC500638,ACC765525,14.31,transfer,other,Toronto,pos,True,-169.23565813305555,0.09,4,0.02,ACH,174.57.5.156,D6653842,20781.697500000002
T2964737,2023-06-20T10:51:22.738487,ACC544263,ACC928790,226.26,withdrawal,retail,London,mobile,True,-3959.2855059205554,-0.23,9,0.27,card,122.252.59.14,D5776639,328586.08499999996
T511814,2023-06-26T03:54:17.293734,ACC519912,ACC443827,1324.69,deposit,restaurant,Toronto,atm,False,-822.1397944669445,-1.27,10,0.03,UPI,108.34.43.118,D1371014,1923781.0525
T2315394,2023-06-09T08:51:25.177859,ACC359364,ACC950038,65.35,payment,utilities,Sydney,web,True,-291.0109425644444,-0.29,2,0.23,wire_transfer,97.70.73.10,D2156548,94904.53749999999
T573405,2023-08-18T00:13:12.903413,ACC610319,ACC812129,475.68,withdrawal,grocery,New York,web,False,,0.69,12,0.41,card,168.128.21.67,D6017474,690806.28
T3150125,2023-07-19T13:44:21.821986,ACC387330,ACC923445,54.45,transfer,grocery,New York,web,True,3157.901018265278,-0.4,20,0.28,UPI,186.53.195.218,D4324364,79075.0125
T450844,2023-08-08T18:00:58.866629,ACC691311,ACC470310,54.07,payment,grocery,Toronto,pos,False,2937.740704903611,1.4,11,0.76,card,9.188.159.152,D9047723,78523.1575
T4779914,2023-05-03T16:31:10.348421,ACC970495,ACC852901,49.82,payment,retail,Tokyo,atm,False,433.8168107169444,1.1,15,0.16,wire_transfer,55.103.231.58,D1730381,72351.095
T4876850,2023-10-08T20:28:41.509254,ACC345607,ACC292199,70.27,payment,other,Dubai,pos,True,3814.856864686945,0.09,8,0.4,ACH,211.105.173.241,D6213389,102049.6075
T1113231,2023-01-31T21:25:26.423437,ACC528471,ACC990328,7.43,transfer,utilities,Tokyo,mobile,False,-1959.435930890833,-1.5,20,0.88,card,41.58.205.151,D6457390,10790.217499999999
T3121027,2023-03-29T03:57:01.861653,ACC807429,ACC649782,2.77,payment,travel,Berlin,web,False,-6254.404381637778,0.63,1,0.91,card,39.198.152.59,D3991232,4022.7325
T4289898,2023-03-27T05:44:09.588955,ACC227736,ACC939843,141.38,payment,online,Dubai,web,True,-4525.610028382778,1.45,2,0.16,ACH,119.224.212.176,D5283887,205319.10499999998
T1248949,2023-04-26T19:23:57.458321,ACC752431,ACC772882,391.98,withdrawal,retail,Toronto,web,True,-3001.7132239894445,1.92,3,0.54,ACH,110.81.7.87,D4296221,569252.9550000001
T4295171,2023-03-03T16:35:32.917496,ACC501135,ACC183326,397.93,withdrawal,utilities,Toronto,atm,True,-4283.535110291944,-1.45,2,0.56,wire_transfer,203.169.12.134,D3380791,577893.8425
T2023565,2023-11-17T17:12:23.682003,ACC579140,ACC441816,43.67,withdrawal,grocery,Tokyo,web,True,7263.073982886945,0.17,4,0.69,card,196.28.195.170,D3304489,63419.7575
T1339015,2023-09-02T18:02:29.698571,ACC281548,ACC153778,1136.34,deposit,retail,Berlin,web,False,3469.7670558100003,-1.07,18,0.0,card,204.171.118.144,D4226540,1650249.765
T3549880,2023-09-08T10:50:24.655157,ACC539578,ACC822178,22.07,transfer,restaurant,Sydney,web,True,-657.0015501225,0.39,3,1.0,ACH,178.128.128.82,D8132228,32051.1575
T3448821,2023-01-15T02:50:01.044942,ACC333711,ACC610940,7.22,payment,utilities,Tokyo,web,True,-4739.833134806667,-0.61,8,0.65,ACH,234.47.133.11,D5898825,10485.244999999999
T3940029,2023-12-12T19:21:23.862167,ACC130659,ACC735257,86.87,payment,other,Singapore,web,True,5924.336846015278,1.27,14,0.35,ACH,13.32.94.123,D2087469,126156.9575
T3552052,2023-03-03T11:38:47.536832,ACC832897,ACC129455,118.67,withdrawal,retail,Sydney,atm,False,-4922.596056173055,-2.27,17,0.89,card,103.93.116.33,D3327434,172338.5075
T3528595,2023-11-11T18:44:33.862969,ACC313454,ACC886994,36.34,payment,grocery,Toronto,web,False,5300.434209833334,1.95,19,0.27,ACH,117.196.164.135,D4185696,52774.76500000001
T1265754,2023-12-19T02:40:35.220457,ACC193950,ACC778420,105.1,payment,retail,Sydney,mobile,True,2027.4014013741669,0.35,18,0.93,UPI,74.156.154.183,D9814745,152631.475
T537148,2023-02-21T10:42:12.167406,ACC406386,ACC948417,1584.95,deposit,travel,Tokyo,mobile,False,,0.04,14,0.58,UPI,141.123.29.240,D3832471,2301743.6375
T2320223,2023-03-05T19:56:47.953513,ACC647865,ACC878470,23.21,transfer,travel,Sydney,atm,True,-5616.4736620025,-1.35,4,0.65,UPI,63.161.179.105,D4455866,33706.7225
T4513303,2023-02-25T09:11:58.715747,ACC390010,ACC245997,548.08,deposit,grocery,Toronto,pos,True,-4525.796696210833,1.62,7,0.32,UPI,157.229.184.23,D3619474,795949.18
T4254416,2023-10-31T05:19:39.759412,ACC582714,ACC431766,98.11,payment,online,Sydney,pos,True,6838.248548603611,2.47,6,0.39,wire_transfer,16.71.126.125,D9146527,142480.2475
T3514509,2023-08-05T11:48:40.659243,ACC444801,ACC379403,1462.06,deposit,online,Singapore,web,False,4141.741369103333,0.17,5,0.8,ACH,230.84.93.40,D8234283,2123276.635
T126827,2023-09-17T06:56:00.421620,ACC983635,ACC768439,179.48,payment,restaurant,Sydney,mobile,False,,0.04,6,0.73,ACH,164.229.164.69,D9640999,260649.83
T1108250,2023-07-04T09:31:50.212927,ACC135610,ACC465864,584.03,withdrawal,entertainment,London,web,False,,-0.58,14,0.96,wire_transfer,238.65.194.125,D3210757,848157.5675
T3072554,2023-05-14T01:15:10.057558,ACC284992,ACC935762,14.65,withdrawal,travel,London,atm,True,-2530.1223938291664,0.08,8,0.03,wire_transfer,111.185.71.173,D7255364,21275.4625
T3305555,2023-10-16T16:10:45.279219,ACC760237,ACC817723,544.99,deposit,entertainment,Sydney,web,False,-1638.010363338889,2.26,9,0.07,UPI,107.4.63.121,D7158613,791461.7275
T763059,2023-12-20T11:45:19.388530,ACC421757,ACC397152,126.05,payment,online,Toronto,pos,True,6679.625585245278,0.21,13,0.05,card,213.204.46.201,D5509123,183056.1125
T4744098,2023-07-17T13:48:37.641497,ACC684338,ACC152358,1218.89,deposit,travel,Toronto,pos,True,1662.7337335813888,-1.09,9,0.21,card,68.109.79.88,D3448829,1770133.0025000002
T2214154,2023-03-17T06:25:38.787213,ACC816515,ACC614184,161.95,deposit,retail,London,pos,False,1336.0310113963887,0.56,3,0.97,UPI,70.197.153.241,D3490245,235191.88749999998
T3101647,2023-11-28T19:36:28.767306,ACC340563,ACC397626,9.33,payment,travel,Berlin,web,True,7901.750978356388,-0.89,7,0.78,UPI,43.92.11.238,D3925198,13549.4925
T2209254,2023-10-16T18:46:00.719476,ACC776206,ACC859747,71.49,payment,other,Toronto,atm,True,3226.5961719597226,0.44,14,0.81,ACH,3.133.189.79,D2703521,103821.3525
T4529997,2023-10-17T17:51:30.448529,ACC453688,ACC972676,59.32,withdrawal,retail,London,pos,True,1083.5281029041666,0.28,14,0.41,card,101.55.177.20,D1804383,86147.47
T447408,2023-07-26T11:51:28.700037,ACC863128,ACC953642,56.49,transfer,online,Toronto,mobile,False,-3100.0888630433333,-0.0,4,0.29,UPI,220.3.85.64,D5046753,82037.60250000001
T3287825,2023-07-23T16:35:21.712404,ACC470823,ACC826728,37.19,payment,travel,Toronto,web,True,-3455.0371840863886,-0.54,13,0.81,ACH,218.116.179.26,D3835688,54009.1775
T508971,2023-04-29T23:24:29.249052,ACC508579,ACC372690,956.23,deposit,utilities,Berlin,pos,False,,-1.76,4,0.67,card,240.22.146.159,D5820595,1388685.0175
T4064315,2023-12-05T12:25:57.956236,ACC281103,ACC721688,13.35,transfer,retail,Toronto,web,True,7818.728022363055,-0.5,16,0.52,ACH,151.223.248.238,D7320675,19387.5375
T4878337,2023-09-13T18:23:15.006124,ACC437002,ACC256444,716.4,deposit,retail,Berlin,pos,False,-2010.1260918927776,-0.7,17,0.82,ACH,215.154.223.7,D9844931,1040391.9
T1237418,2023-12-15T09:15:45.506219,ACC878096,ACC193335,115.38,payment,online,Dubai,pos,False,244.57877197166667,-0.38,17,0.03,ACH,50.97.170.173,D1828444,167560.60499999998
T4798888,2023-10-12T01:40:14.463940,ACC601922,ACC329435,179.66,withdrawal,retail,Singapore,mobile,False,3130.123288163333,-0.89,19,0.9,ACH,129.7.40.119,D4525581,260911.235
T4302382,2023-07-19T09:11:57.638089,ACC962040,ACC828901,713.89,deposit,online,Dubai,web,True,-3457.0377477138886,1.77,4,0.28,card,10.209.0.62,D2087894,1036746.7525
T1419658,2023-12-18T16:45:25.528031,ACC367060,ACC570421,1273.72,deposit,other,Berlin,atm,False,1067.9562718702778,-1.36,17,0.84,UPI,26.177.8.204,D3459629,1849759.87
T2320297,2023-02-08T08:13:41.595873,ACC880427,ACC370336,39.51,payment,retail,Berlin,pos,True,531.86779532,-0.61,20,0.78,wire_transfer,241.3.30.22,D2346163,57378.3975
T1150020,2023-07-18T01:19:08.891053,ACC706028,ACC248263,459.67,deposit,other,Sydney,web,True,1697.600274883611,0.01,15,0.13,wire_transfer,105.80.133.158,D9134468,667555.7575000001
T3923782,2023-05-09T10:36:54.687779,ACC506655,ACC733761,646.62,withdrawal,utilities,Tokyo,mobile,False,-2595.9382814794444,0.55,5,0.69,card,85.232.194.53,D3619443,939053.895
T4783646,2023-07-15T21:14:34.226507,ACC581187,ACC623295,275.61,withdrawal,travel,London,web,False,533.3307739008333,-0.4,7,0.46,UPI,162.109.119.25,D9140613,400254.6225
T4033245,2023-09-21T21:47:44.390143,ACC770462,ACC869952,231.55,withdrawal,utilities,Singapore,mobile,False,-1556.0588890288889,0.06,13,0.04,wire_transfer,216.78.228.159,D4743762,336268.4875
T143989,2023-05-28T10:23:17.114200,ACC567329,ACC521276,486.98,withdrawal,other,Dubai,mobile,False,,-0.14,15,0.72,wire_transfer,8.44.3.195,D8836716,707216.7050000001
T4612703,2023-01-04T18:45:23.371039,ACC132568,ACC741993,234.25,withdrawal,online,Tokyo,mobile,True,-181.1490147222222,0.71,5,0.72,wire_transfer,231.30.103.8,D5209505,340189.5625
T5075569,2023-02-19T11:56:57.134063,ACC981996,ACC284584,9.74,transfer,utilities,Berlin,web,False,-1583.807838605,-1.42,9,0.07,card,10.133.158.98,D1856837,14144.915
T3612890,2023-05-20T07:47:19.829604,ACC165931,ACC649612,226.37,withdrawal,travel,New York,web,False,1733.9562112255555,1.77,4,0.2,card,11.70.207.9,D2313977,328745.8325
T358756,2023-06-06T21:28:27.183045,ACC979803,ACC567836,994.24,deposit,retail,Toronto,pos,False,,0.31,13,0.08,ACH,210.115.150.96,D2513366,1443885.04
T4315826,2023-07-27T02:01:00.552722,ACC439514,ACC682399,28.93,withdrawal,online,London,web,True,-2209.2496511530558,-2.02,19,0.87,wire_transfer,60.231.10.196,D3449871,42013.5925
T3240933,2023-10-26T21:46:10.280152,ACC878307,ACC760523,622.46,deposit,other,Toronto,pos,True,5114.442682934445,-0.79,18,0.87,card,201.165.148.88,D3710818,903967.535
T204658,2023-07-22T11:18:20.444769,ACC682617,ACC490870,7.72,transfer,retail,New York,web,False,,0.18,7,0.42,card,186.9.104.168,D5138955,11211.369999999999
T3425524,2023-03-11T15:17:14.343006,ACC771654,ACC481686,173.89,withdrawal,other,Toronto,atm,True,-957.4115336047222,1.02,1,0.02,ACH,213.234.178.69,D3125966,252531.75249999997
T1698094,2023-04-22T01:20:20.045543,ACC535626,ACC189615,901.7,deposit,entertainment,Dubai,mobile,True,-4693.4757323847225,-0.16,10,1.0,card,2.16.1.160,D3484654,1309493.825
